Category,Score
_Discount Store,18.269230769230766
_Gas Station,15.923076923076927
_Fast Food Restaurant,15.903846153846153
_Wings Joint,8.442307692307692
_Liquor Store,8.115384615384619
_Chinese Restaurant,7.634615384615384
_Seafood Restaurant,7.230769230769233
_Sandwich Place,6.576923076923079
_Southern / Soul Food Restaurant,5.961538461538461
_Fried Chicken Joint,5.711538461538463
