Category,Score
_Fast Food Restaurant,14.96039603960395
_Sandwich Place,13.108910891089096
_Discount Store,12.198019801980186
_Pizza Place,10.811881188118804
_Grocery Store,10.089108910891081
_Mexican Restaurant,9.475247524752472
_Park,8.198019801980196
_Pharmacy,7.37623762376238
_Chinese Restaurant,5.712871287128715
_Coffee Shop,4.722772277227725
